state, action
0110111010110011101010101010010101010101101000101000000100110100,9
0110111010110011101010101010010101011010101000101000000100110100,8
0110111010110011101010101010010110101010101000101000000100110100,7
0110111010110011101010101010101010101010101000101000000100110100,2
0110111011010011101010101010101010101010101000101000000100110100,2
0110111011100011101010101010101010101010101000101000000100110100,2
0110111001110011101010101010101010101010101000101000000100110100,14
0110111001110011101010101010101010101010101000101000000110010100,14
0110111001110011101010101010101010101010101000101000000111000100,13
0110111001110011101010101010101010101010101000101000100011000100,1
0110011101110011101010101010101010101010101000101000100011000100,15
0110011101110011101010101010101010101010101000101000100011000010,15
0110011101110011101010101010101010101010101000101000100011000001,11
0110011101110011101010101010101010101010101000011000100011000001,11
1100110111101001010110100101101010101010010001011000011000101000,6
1100110111101001010110101010101010101010010001011000011000101000,4
1100110111101001101010101010101010101010010001011000011000101000,2
1100110101111001101010101010101010101010010001011000011000101000,14
1100110101111001101010101010101010101010010001011000011000011000,11
1100110101111001101010101010101010101010010010101000011000011000,1
1100111001111001101010101010101010101010010010101000011000011000,1
1100011101111001101010101010101010101010010010101000011000011000,0
0110011101111001101010101010101010101010010010101000011000011000,3
0110011101111100101010101010101010101010010010101000011000011000,3
0110011101110110101010101010101010101010010010101000011000011000,3
0110011101110011101010101010101010101010010010101000011000011000,13
0110011101110011101010101010101010101010010010101000001100011000,13
0110011101110011101010101010101010101010010010101000100100011000,13
0110011101110011101010101010101010101010010010101000110000011000,10
0110011101110011101010101010101010101010001010101000110000011000,10
0110011101110011101010101010101010101010000110101000110000011000,10
1001011111100011101010101010101001011010010100100001100000110001,8
1001011111100011101010101010101010101010010100100001100000110001,2
1001011101110011101010101010101010101010010100100001100000110001,14
1001011101110011101010101010101010101010010100100001100010010001,14
1001011101110011101010101010101010101010010100100001100011000001,12
1001011101110011101010101010101010101010010100101000100011000001,10
1001011101110011101010101010101010101010101000101000100011000001,0
1100011101110011101010101010101010101010101000101000100011000001,0
0110011101110011101010101010101010101010101000101000100011000001,11
0110011101110011101010101010101010101010101000011000100011000001,11
0110011101111100010110100101101010100101010110100010000101001000,9
0110011101111100010110100101101010101010010110100010000101001000,6
0110011101111100010110101010101010101010010110100010000101001000,4
0110011101111100101010101010101010101010010110100010000101001000,3
0110011101110110101010101010101010101010010110100010000101001000,3
0110011101110011101010101010101010101010010110100010000101001000,13
0110011101110011101010101010101010101010010110100010100001001000,10
0110011101110011101010101010101010101010101010100010100001001000,12
0110011101110011101010101010101010101010101010100001100001001000,12
0110011101110011101010101010101010101010101010101000100001001000,14
0110011101110011101010101010101010101010101010101000100000101000,14
0110011101110011101010101010101010101010101010101000100000011000,14
1001011101111100101001011010010101010101010110000001001010010001,9
1001011101111100101001011010010101011010010110000001001010010001,8
1001011101111100101001011010010110101010010110000001001010010001,7
1001011101111100101001011010101010101010010110000001001010010001,5
1001011101111100101010101010101010101010010110000001001010010001,3
1001011101110110101010101010101010101010010110000001001010010001,3
1001011101110011101010101010101010101010010110000001001010010001,14
1001011101110011101010101010101010101010010110000001001011000001,12
1001011101110011101010101010101010101010010110001000001011000001,10
1001011101110011101010101010101010101010101010001000001011000001,0
1100011101110011101010101010101010101010101010001000001011000001,0
0110011101110011101010101010101010101010101010001000001011000001,13
0110011101110011101010101010101010101010101010001000000111000001,13
1001011110110110010101011010101010100101010110101000010010001000,9
1001011110110110010101011010101010101010010110101000010010001000,5
1001011110110110010110101010101010101010010110101000010010001000,4
1001011110110110101010101010101010101010010110101000010010001000,3
1001011110110011101010101010101010101010010110101000010010001000,2
1001011111010011101010101010101010101010010110101000010010001000,2
1001011111100011101010101010101010101010010110101000010010001000,2
1001011101110011101010101010101010101010010110101000010010001000,10
1001011101110011101010101010101010101010101010101000010010001000,0
1100011101110011101010101010101010101010101010101000010010001000,0
0110011101110011101010101010101010101010101010101000010010001000,13
0110011101110011101010101010101010101010101010101000001010001000,13
0110011101110011101010101010101010101010101010101000000110001000,13
0011101111010110010110101010101010100101100010100001110010000010,9
0011101111010110010110101010101010101010100010100001110010000010,4
0011101111010110101010101010101010101010100010100001110010000010,3
0011101111010011101010101010101010101010100010100001110010000010,2
0011101111100011101010101010101010101010100010100001110010000010,2
0011101101110011101010101010101010101010100010100001110010000010,12
0011101101110011101010101010101010101010100010101000110010000010,1
0011110101110011101010101010101010101010100010101000110010000010,1
0011111001110011101010101010101010101010100010101000110010000010,1
0011011101110011101010101010101010101010100010101000110010000010,0
1001011101110011101010101010101010101010100010101000110010000010,0
1100011101110011101010101010101010101010100010101000110010000010,0
0110011101110011101010101010101010101010100010101000110010000010,15
0110011101110011101010101010101010101010100010101000110010000001,15
0110011101110011101010101010101010101010100010101000110010001000,14
0110011101110011101010101010101010101010100010101000110001001000,14
0110011101110011101010101010101010101010100010101000110000101000,14
1100101111010011010101010101101001011010001001010010000110000011,8
1100101111010011010101010101101010101010001001010010000110000011,6
1100101111010011010101011010101010101010001001010010000110000011,5
1100101111010011010110101010101010101010001001010010000110000011,4
1100101111010011101010101010101010101010001001010010000110000011,2
1100101111100011101010101010101010101010001001010010000110000011,2
1100101101110011101010101010101010101010001001010010000110000011,15
1100101101110011101010101010101010101010001001010010000110001001,14
1100101101110011101010101010101010101010001001010010000101001001,13
1100101101110011101010101010101010101010001001010010100001001001,11
1100101101110011101010101010101010101010001010100010100001001001,1
1100110101110011101010101010101010101010001010100010100001001001,1
1100111001110011101010101010101010101010001010100010100001001001,1
1100011101110011101010101010101010101010001010100010100001001001,0
0110011101110011101010101010101010101010001010100010100001001001,12
0110011101110011101010101010101010101010001010100001100001001001,12
0110011101110011101010101010101010101010001010101000100001001001,10
0110011101110011101010101010101010101010000110101000100001001001,10
1001110111100011101010100101101010100101100001010001010001001001,9
1001110111100011101010100101101010101010100001010001010001001001,6
1001110111100011101010101010101010101010100001010001010001001001,2
1001110101110011101010101010101010101010100001010001010001001001,12
1001110101110011101010101010101010101010100001011000010001001001,11
1001110101110011101010101010101010101010100010101000010001001001,1
1001111001110011101010101010101010101010100010101000010001001001,1
1001011101110011101010101010101010101010100010101000010001001001,0
1100011101110011101010101010101010101010100010101000010001001001,0
0110011101110011101010101010101010101010100010101000010001001001,13
0110011101110011101010101010101010101010100010101000001001001001,13
0110011101110011101010101010101010101010100010101000000101001001,13
0011101111011100101010101010010110101010001010100100110001000010,7
0011101111011100101010101010101010101010001010100100110001000010,3
0011101111010110101010101010101010101010001010100100110001000010,3
0011101111010011101010101010101010101010001010100100110001000010,2
0011101111100011101010101010101010101010001010100100110001000010,2
0011101101110011101010101010101010101010001010100100110001000010,1
0011110101110011101010101010101010101010001010100100110001000010,1
0011111001110011101010101010101010101010001010100100110001000010,1
0011011101110011101010101010101010101010001010100100110001000010,0
1001011101110011101010101010101010101010001010100100110001000010,0
1100011101110011101010101010101010101010001010100100110001000010,0
0110011101110011101010101010101010101010001010100100110001000010,15
0110011101110011101010101010101010101010001010100100110001000001,15
0110011101110011101010101010101010101010001010100100110001001000,14
0110011101110011101010101010101010101010001010100100110000101000,14
0110011101110011101010101010101010101010001010100100110000011000,10
0110011101110011101010101010101010101010000110100100110000011000,10
0110011101110011101010101010101010101010100010100100110000011000,12
0110011101110011101010101010101010101010100010100010110000011000,12
0110011101110011101010101010101010101010100010100001110000011000,12
1001101101111001101001011010101010100101010010100100100001001100,9
1001101101111001101001011010101010101010010010100100100001001100,5
1001101101111001101010101010101010101010010010100100100001001100,1
1001110101111001101010101010101010101010010010100100100001001100,1
1001111001111001101010101010101010101010010010100100100001001100,1
1001011101111001101010101010101010101010010010100100100001001100,0
1100011101111001101010101010101010101010010010100100100001001100,0
0110011101111001101010101010101010101010010010100100100001001100,3
0110011101111100101010101010101010101010010010100100100001001100,3
0110011101110110101010101010101010101010010010100100100001001100,3
0110011101110011101010101010101010101010010010100100100001001100,15
0110011101110011101010101010101010101010010010100100100001000110,15
0110011101110011101010101010101010101010010010100100100001000011,15
0110011101110011101010101010101010101010010010100100100001001001,12
0110011101110011101010101010101010101010010010100010100001001001,12
0110011101110011101010101010101010101010010010100001100001001001,12
0110011101110011101010101010101010101010010010101000100001001001,10
0110011101110011101010101010101010101010001010101000100001001001,10
0110011101110011101010101010101010101010000110101000100001001001,10
1100111001111001010110100101010101011010010101010100000101000010,8
1100111001111001010110100101010110101010010101010100000101000010,7
1100111001111001010110100101101010101010010101010100000101000010,6
1100111001111001010110101010101010101010010101010100000101000010,4
1100111001111001101010101010101010101010010101010100000101000010,13
1100111001111001101010101010101010101010010101010100100001000010,11
1100111001111001101010101010101010101010010110100100100001000010,10
1100111001111001101010101010101010101010101010100100100001000010,1
1100011101111001101010101010101010101010101010100100100001000010,0
0110011101111001101010101010101010101010101010100100100001000010,3
0110011101111100101010101010101010101010101010100100100001000010,3
0110011101110110101010101010101010101010101010100100100001000010,3
0110011101110011101010101010101010101010101010100100100001000010,15
0110011101110011101010101010101010101010101010100100100001000001,15
0110011101110011101010101010101010101010101010100100100001001000,14
0110011101110011101010101010101010101010101010100100100000101000,14
0110011101110011101010101010101010101010101010100100100000011000,14
0110011101110011101010101010101010101010101010100100100010001000,12
0110011101110011101010101010101010101010101010100010100010001000,12
0110011101110011101010101010101010101010101010100001100010001000,12
0110111010110011101010101010010101010101101000101000000100110100,9
0110111010110011101010101010010101011010101000101000000100110100,8
0110111010110011101010101010010110101010101000101000000100110100,7
0110111010110011101010101010101010101010101000101000000100110100,2
0110111011010011101010101010101010101010101000101000000100110100,2
0110111011100011101010101010101010101010101000101000000100110100,2
0110111001110011101010101010101010101010101000101000000100110100,14
0110111001110011101010101010101010101010101000101000000110010100,14
0110111001110011101010101010101010101010101000101000000111000100,13
0110111001110011101010101010101010101010101000101000100011000100,1
0110011101110011101010101010101010101010101000101000100011000100,15
0110011101110011101010101010101010101010101000101000100011000010,15
0110011101110011101010101010101010101010101000101000100011000001,11
0110011101110011101010101010101010101010101000011000100011000001,11
1100110111101001010110100101101010101010010001011000011000101000,6
1100110111101001010110101010101010101010010001011000011000101000,4
1100110111101001101010101010101010101010010001011000011000101000,2
1100110101111001101010101010101010101010010001011000011000101000,14
1100110101111001101010101010101010101010010001011000011000011000,11
1100110101111001101010101010101010101010010010101000011000011000,1
1100111001111001101010101010101010101010010010101000011000011000,1
1100011101111001101010101010101010101010010010101000011000011000,0
0110011101111001101010101010101010101010010010101000011000011000,3
0110011101111100101010101010101010101010010010101000011000011000,3
0110011101110110101010101010101010101010010010101000011000011000,3
0110011101110011101010101010101010101010010010101000011000011000,13
0110011101110011101010101010101010101010010010101000001100011000,13
0110011101110011101010101010101010101010010010101000100100011000,13
0110011101110011101010101010101010101010010010101000110000011000,10
0110011101110011101010101010101010101010001010101000110000011000,10
0110011101110011101010101010101010101010000110101000110000011000,10
1001011111100011101010101010101001011010010100100001100000110001,8
1001011111100011101010101010101010101010010100100001100000110001,2
1001011101110011101010101010101010101010010100100001100000110001,14
1001011101110011101010101010101010101010010100100001100010010001,14
1001011101110011101010101010101010101010010100100001100011000001,12
1001011101110011101010101010101010101010010100101000100011000001,10
1001011101110011101010101010101010101010101000101000100011000001,0
1100011101110011101010101010101010101010101000101000100011000001,0
0110011101110011101010101010101010101010101000101000100011000001,11
0110011101110011101010101010101010101010101000011000100011000001,11
0110011101111100010110100101101010100101010110100010000101001000,9
0110011101111100010110100101101010101010010110100010000101001000,6
0110011101111100010110101010101010101010010110100010000101001000,4
0110011101111100101010101010101010101010010110100010000101001000,3
0110011101110110101010101010101010101010010110100010000101001000,3
0110011101110011101010101010101010101010010110100010000101001000,13
0110011101110011101010101010101010101010010110100010100001001000,10
0110011101110011101010101010101010101010101010100010100001001000,12
0110011101110011101010101010101010101010101010100001100001001000,12
0110011101110011101010101010101010101010101010101000100001001000,14
0110011101110011101010101010101010101010101010101000100000101000,14
0110011101110011101010101010101010101010101010101000100000011000,14
1001011101111100101001011010010101010101010110000001001010010001,9
1001011101111100101001011010010101011010010110000001001010010001,8
1001011101111100101001011010010110101010010110000001001010010001,7
1001011101111100101001011010101010101010010110000001001010010001,5
1001011101111100101010101010101010101010010110000001001010010001,3
1001011101110110101010101010101010101010010110000001001010010001,3
1001011101110011101010101010101010101010010110000001001010010001,14
1001011101110011101010101010101010101010010110000001001011000001,12
1001011101110011101010101010101010101010010110001000001011000001,10
1001011101110011101010101010101010101010101010001000001011000001,0
1100011101110011101010101010101010101010101010001000001011000001,0
0110011101110011101010101010101010101010101010001000001011000001,13
0110011101110011101010101010101010101010101010001000000111000001,13
1001011110110110010101011010101010100101010110101000010010001000,9
1001011110110110010101011010101010101010010110101000010010001000,5
1001011110110110010110101010101010101010010110101000010010001000,4
1001011110110110101010101010101010101010010110101000010010001000,3
1001011110110011101010101010101010101010010110101000010010001000,2
1001011111010011101010101010101010101010010110101000010010001000,2
1001011111100011101010101010101010101010010110101000010010001000,2
1001011101110011101010101010101010101010010110101000010010001000,10
1001011101110011101010101010101010101010101010101000010010001000,0
1100011101110011101010101010101010101010101010101000010010001000,0
0110011101110011101010101010101010101010101010101000010010001000,13
0110011101110011101010101010101010101010101010101000001010001000,13
0110011101110011101010101010101010101010101010101000000110001000,13
0011101111010110010110101010101010100101100010100001110010000010,9
0011101111010110010110101010101010101010100010100001110010000010,4
0011101111010110101010101010101010101010100010100001110010000010,3
0011101111010011101010101010101010101010100010100001110010000010,2
0011101111100011101010101010101010101010100010100001110010000010,2
0011101101110011101010101010101010101010100010100001110010000010,12
0011101101110011101010101010101010101010100010101000110010000010,1
0011110101110011101010101010101010101010100010101000110010000010,1
0011111001110011101010101010101010101010100010101000110010000010,1
0011011101110011101010101010101010101010100010101000110010000010,0
1001011101110011101010101010101010101010100010101000110010000010,0
1100011101110011101010101010101010101010100010101000110010000010,0
0110011101110011101010101010101010101010100010101000110010000010,15
0110011101110011101010101010101010101010100010101000110010000001,15
0110011101110011101010101010101010101010100010101000110010001000,14
0110011101110011101010101010101010101010100010101000110001001000,14
0110011101110011101010101010101010101010100010101000110000101000,14
1100101111010011010101010101101001011010001001010010000110000011,8
1100101111010011010101010101101010101010001001010010000110000011,6
1100101111010011010101011010101010101010001001010010000110000011,5
1100101111010011010110101010101010101010001001010010000110000011,4
1100101111010011101010101010101010101010001001010010000110000011,2
1100101111100011101010101010101010101010001001010010000110000011,2
1100101101110011101010101010101010101010001001010010000110000011,15
1100101101110011101010101010101010101010001001010010000110001001,14
1100101101110011101010101010101010101010001001010010000101001001,13
1100101101110011101010101010101010101010001001010010100001001001,11
1100101101110011101010101010101010101010001010100010100001001001,1
1100110101110011101010101010101010101010001010100010100001001001,1
1100111001110011101010101010101010101010001010100010100001001001,1
1100011101110011101010101010101010101010001010100010100001001001,0
0110011101110011101010101010101010101010001010100010100001001001,12
0110011101110011101010101010101010101010001010100001100001001001,12
0110011101110011101010101010101010101010001010101000100001001001,10
0110011101110011101010101010101010101010000110101000100001001001,10
1001110111100011101010100101101010100101100001010001010001001001,9
1001110111100011101010100101101010101010100001010001010001001001,6
1001110111100011101010101010101010101010100001010001010001001001,2
1001110101110011101010101010101010101010100001010001010001001001,12
1001110101110011101010101010101010101010100001011000010001001001,11
1001110101110011101010101010101010101010100010101000010001001001,1
1001111001110011101010101010101010101010100010101000010001001001,1
1001011101110011101010101010101010101010100010101000010001001001,0
1100011101110011101010101010101010101010100010101000010001001001,0
0110011101110011101010101010101010101010100010101000010001001001,13
0110011101110011101010101010101010101010100010101000001001001001,13
0110011101110011101010101010101010101010100010101000000101001001,13
0011101111011100101010101010010110101010001010100100110001000010,7
0011101111011100101010101010101010101010001010100100110001000010,3
0011101111010110101010101010101010101010001010100100110001000010,3
0011101111010011101010101010101010101010001010100100110001000010,2
0011101111100011101010101010101010101010001010100100110001000010,2
0011101101110011101010101010101010101010001010100100110001000010,1
0011110101110011101010101010101010101010001010100100110001000010,1
0011111001110011101010101010101010101010001010100100110001000010,1
0011011101110011101010101010101010101010001010100100110001000010,0
1001011101110011101010101010101010101010001010100100110001000010,0
1100011101110011101010101010101010101010001010100100110001000010,0
0110011101110011101010101010101010101010001010100100110001000010,15
0110011101110011101010101010101010101010001010100100110001000001,15
0110011101110011101010101010101010101010001010100100110001001000,14